,A,B,C,D,E,F,G,H,I,J
0,19.413448750005735,21.78979083581116,55.37411845015075,36.07825338954408,92.82534564178687,19.56869959612345,67.28043751423341,75.00078946375544,82.00146959406996,34.1592186453135
1,9.183253581454952,51.79173713648263,21.325584287045572,2.845485293914396,99.25837548974403,42.13880398632739,48.714121185776285,79.7548970754406,2.36929671006606,73.61823802875887
2,94.43910231615111,95.82799708434699,53.2791557560326,41.94508105769167,24.3638074768571,61.01279853588116,6.053899535157159,65.75268523246504,7.739846770705839,84.78621690367547
3,42.48382740462113,86.45403049592272,27.273164670998195,51.7419689672449,10.340190318379728,8.743808451952628,91.00037219133334,7.922560696121394,13.010192264612307,4.868078324716574
4,2.564198782105487,79.34243365514551,51.07502654770699,45.51726737915824,32.829407589202496,49.04923986833054,38.90541209282892,46.755255861659975,55.523492797484494,9.039796946963419
5,82.54407858948096,7.446886964150479,61.53597323582098,56.1282755308522,95.64285765884324,43.25435290719744,14.120647301093081,23.522221280325738,84.09976248013197,2.121429708318856
6,95.30029671313244,38.22580678151352,16.176973612387936,13.067939477225032,28.45186549805022,92.76065880530375,38.71375656535796,58.51584531700469,79.94348658217879,52.70774387265479
7,32.25397234631191,25.922794520263647,86.58165918517365,19.836237154345337,79.61987943873507,53.56158017332753,44.17575268064159,9.07463973649103,99.5310588279498,28.825216990555035
8,91.27225244003458,28.47585873831955,38.21263683663948,3.678556151828005,80.79690482585269,39.031202213924956,61.583349140579735,6.227627156161408,53.83060330230058,99.97533252515537
9,1.3541387487627232,9.38109125644051,5.398351140776381,82.52415784347168,85.09941054321803,60.21382300670969,0.23267616941228253,26.048877836074514,59.043848350362424,4.178381559038858
10,4.051123941794765,25.239539125751374,51.86258389646533,95.40909426511855,46.76660830838099,27.037596162227672,63.119774816973425,33.05845757793018,12.619928758094712,39.708007429573165
11,52.18777352645216,7.035497769236054,75.20019048926285,35.947010389774604,32.99710822538866,79.52237832029697,14.203097375078755,60.8590737328847,99.7964294451016,23.454035067509118
12,77.8049256811368,41.81356912841954,69.84264034805479,19.371317327714287,74.15553115923326,82.75149308912144,38.2447624711518,38.398922035585144,80.20707250439598,32.55363406251334
13,6.816477686276801,84.4057454458586,61.54353608506543,11.778542683954807,15.503011634101915,65.6137559452446,17.673186075959137,89.18006135344962,37.2303785203155,41.36129029027648
14,84.19439842500958,29.018774884472364,22.591584805864784,16.188069518379976,16.34234119124739,7.403050604247518,24.682772542551334,42.75345192483812,67.89771145942156,84.07448806336106
15,31.746689955879425,93.53627350581708,36.77419098854349,84.97388804240478,21.060480529427373,45.48152993545287,31.664217717284025,83.14148593586708,97.29403839472505,84.34612610398338
16,81.79617078514896,73.440208438878,33.3559845342807,56.97674463811185,27.401782875099045,64.66158140445555,46.20877458633939,80.45490256709591,47.884568167936,71.70215408849097
17,56.86022814677564,96.18749758074566,66.24836706332465,98.28287415817854,67.02484269341433,64.2450781857765,26.372577318510448,64.43610201390153,55.144363535789466,88.72240854064773
18,68.71525788924953,29.74389743188347,55.22700152130019,43.65783432173146,87.78593598650228,41.917284715271755,63.36052984411855,94.11040582883015,67.37791141667097,7.160350288592565
19,64.28755913321233,78.85904384940261,25.87242048641365,90.90639618484042,54.652537824750254,81.58700153291186,26.723386563358652,30.96620444957804,80.2181350469167,13.930759087087141
20,1.22240600493968,79.30422422966285,23.53522713885755,30.300898828211675,7.096887534161079,54.51441217934085,65.19720349632601,27.08185072527328,19.8880349765316,98.27149938469567
21,30.9487343910367,65.53954066913909,6.544844952973516,70.83688244713284,17.446154977959296,61.976673049622946,45.52584216451903,93.99639180398755,78.84115796973718,0.6196268294145657
